No.,スプレッド名,コード,枚数,カテゴリ,レベル,各カードの意味,メジャー度,実用性,利用プラン,ガイド,評価コメント
1,ワンカード,one_card,1,恋愛・仕事・今日の運勢・学業・健康・金運,初心者,占う対象,★★★★★,★★★★★,Free,最もシンプル。質問を心に思い浮かべてカードを1枚引く。そのカードが答えやヒントを示す。,最も基本的。必須中の必須
2,3枚引き(過去/現在/未来),three_card_ppf,3,恋愛・仕事・今日の運勢・学業・健康・金運,初心者,過去／現在／未来,★★★★★,★★★★★,Free,時間の流れを読む最も基本的なスプレッド。過去の影響→現在の状況→未来の展開が分かる。,世界共通の定番。絶対必要
3,3枚引き(状況/行動/結果),three_card_sao,3,恋愛・仕事・今日の運勢・学業・健康・金運,初心者,状況／行動／結果,★★★★☆,★★★★★,Free,問題解決型。現在の状況→取るべき行動→その結果が明確に示される実用的スプレッド。,実用的で分かりやすい
4,3枚引き(心/体/魂),three_card_mbs,3,健康,中級,心／体／魂,★★★☆☆,★★★★☆,Standard,ホリスティック健康占い。精神面・肉体面・スピリチュアル面の調和状態を総合的にチェック。,健康・ウェルネス特化で需要あり
5,恋愛三角,love_triangle,3,恋愛,中級,心の状態／現在の愛／未来の愛,★★★☆☆,★★★★★,Standard,恋愛専用の三角配置。あなたの心境→現在の恋愛状況→恋愛の未来が美しいストーリーで展開される。,恋愛特化で差別化価値高い
6,面接スプレッド,interview_spread,3,仕事,中級,あなたの強み／相手の印象／結果,★☆☆☆☆,★★★★★,Standard,就職・転職面接に特化。自分の強みをどう伝えるか、面接官がどう感じるか、結果はどうなるかが分かる。,現代ニーズにマッチ、ユニーク
7,関係性スプレッド,relationship_spread,3,人間関係,中級,あなた／相手／関係性,★★★★☆,★★★★☆,Standard,人間関係を深く読む。あなたの立場、相手の立場、そして2人の関係性そのものを三角形で表現する。,人間関係全般に使える
8,復縁スプレッド,reunion_spread,4,恋愛,中級,過去の関係／現在の状況／相手の気持ち／復縁可能性,★★☆☆☆,★★★★★,Standard,別れた相手との復縁を占う専用スプレッド。過去の関係性から現状、相手の本音、そして可能性まで詳細分析。,アプリユーザーの関心事No.1
9,健康チェック,health_check,4,健康,中級,心の健康／体の健康／必要な行動／回復の兆し,★★☆☆☆,★★★★☆,Standard,心身の健康状態を総合チェック。精神面・肉体面の現状から必要なケア、回復への道筋を示す。,健康関心層に響く
10,投資スプレッド,investment_spread,4,金運,中級,リスク／リターン／タイミング／結果,★☆☆☆☆,★★★☆☆,Standard,投資判断に特化。リスクとリターンのバランス、投資タイミング、最終的な結果を総合的に占う。,ニッチだが高単価層狙い
11,5枚スプレッド,five_card_spread,5,恋愛・仕事・学業・健康・金運,中級,現在／課題／過去／未来／アドバイス,★★★★☆,★★★★☆,Standard,ケルト十字の簡略版。現状把握から過去の原因、未来予測、最終的なアドバイスまで総合的に占う。,ケルト十字の前段階として重要
12,ソウルメイト,soulmate_spread,5,人間関係,中級,現状／準備度／出会い方／相手像／時期,★★☆☆☆,★★★☆☆,Standard,運命の相手との出会いを占う。現在の状況から出会いの準備度、どんな出会い方をするか、相手の特徴まで詳細に占う。,恋愛ロマンス層に刺さる
13,マネーブロック解除,money_block_clearing,5,金運,中級,現状／原因／ブロック／解決法／成功後,★☆☆☆☆,★★★☆☆,Standard,金銭的な成功を阻む心理的障壁を特定し、解除方法を示す。現状→原因→障壁の正体→解決策→成功後の姿。,セルフヘルプ系で一部需要
14,心のブロック解除,mental_block_clearing,5,心理,中級,現状／原因／ブロック／解決法／成功後,★☆☆☆☆,★★★☆☆,Standard,心理的な成長を阻む障壁を特定・解除する。現在の停滞→根本原因→障壁の正体→突破方法→成功後の変化。,心理系だが一般的でない
15,ワークライフバランス,work_life_balance,5,仕事・学業,中級,現状／仕事・学業／バランス／プライベート／未来,★☆☆☆☆,★★★★☆,Standard,仕事と私生活の調和を占う現代的スプレッド。仕事面とプライベート面のバランス状況と改善点を示す。,現代的テーマで差別化
16,金運予測,money_forecast,6,金運,上級,現在の状況／収入／支出／投資運／節約法／金運,★★☆☆☆,★★★★☆,Standard,金運に特化した6枚スプレッド。収入・支出・投資・節約のバランスから総合的な金運の流れを読み取る。,金運は占いの定番ジャンル
17,関係性ヘルスチェック,relationship_health,6,人間関係,上級,あなた／パートナー／強み／課題／アドバイス／未来,★★☆☆☆,★★★☆☆,Standard,パートナーシップの健康診断。互いの立場、関係の強み・弱み、改善アドバイス、関係の行方を詳細分析。,上級者向け、複雑
18,ヒーリングジャーニー,healing_journey,6,健康,上級,現在の状態／根本原因／治療法／心の癒し／体の癒し／完全回復,★☆☆☆☆,★★☆☆☆,Standard,心身の不調からの回復プロセスを占う。症状の原因から治療方針、心身それぞれの癒し方、完全回復までの道のり。,スピリチュアル特化
19,キャリアパス,career_path,7,仕事・学業,上級,現状／課題／強み／長期目標／行動／機会／結果,★★☆☆☆,★★★★☆,Standard,転職・キャリアチェンジの総合。現在地から目標設定、強みの活用法、具体的行動まで包括的にガイド。,転職・キャリア相談で重要
20,エナジーバランス,energy_balance,7,健康,上級,現状／精神／肉体／行動／栄養／運動／バランス,★☆☆☆☆,★★☆☆☆,Standard,生命エネルギーの調和状態を詳細診断。精神・肉体・行動・栄養・運動など多角的にエネルギーバランスをチェック。,複雑で理解困難
21,ホースシュー,horseshoe_spread,7,総合,上級,過去／現在／未来／あなたのアプローチ／周囲の影響／障害／結果,★★★★☆,★★★☆☆,Standard,馬蹄形に配置する伝統的スプレッド。過去から未来への流れ、あなたの取り組み方、環境要因、障害、最終結果を包括的に読む。,クラシックで権威性あり
22,ケルト十字,celtic_cross,10,総合,最上級,現在の状況／課題・障害／遠い過去／近い過去／可能な未来／近い未来／あなたのアプローチ／周囲の影響／内面・感情／最終結果,★★★★★,★★★☆☆,Standard,世界最も有名なタロットスプレッド。十字形＋縦列の10枚で人生の全局面を詳細に占う最高峰の占術。,世界最有名。ブランド価値絶大
23,イヤースプレッド,year_spread,12,総合,最上級,1月～12月の各月運勢,★★★★☆,★★★★☆,Master,1年間の運勢を月別に占う。各月のテーマ・課題・幸運のタイミングなどを年間カレンダー形式で読み取る。,新年・誕生日需要で確実な人気
24,アストロロジカルスプレッド,astrological_spread,12,総合,最上級,12星座宮に対応した人生の12領域,★★★☆☆,★★☆☆☆,Master,占星術の12宮と対応。自己・金銭・コミュニケーション・家庭・創造・健康・パートナーシップ・変化・哲学・社会・友人・精神の12領域を占う。,高度だが権威性あり
25,生命の樹,tree_of_life,10,スピリチュアル,最上級,10のセフィロトに対応した魂の成長段階,★★★☆☆,★☆☆☆☆,Master,カバラの生命の樹に対応。10の段階で魂の進化プロセスを読む高度なスピリチュアル占術。一般向けではない。,神秘主義で一般向けでない
26,グランドタブロー,grand_tableau,36,総合,最上級,人生の全領域を網羅する36枚の包括的配置,★★☆☆☆,★☆☆☆☆,Master,36枚のカードを6×6で配置し、人生全体の詳細図を読み取る最高難度のスプレッド。ルノルマン由来だがタロット版も存在。,最高難度、一般向けでない
