x,y,order,position,isHorizontal
// 1. ワンカード (1枚),,,,
0,0,1,占う対象,FALSE
// 2. 3枚引き（Past/Present/Future）(3枚),,,,
0,0,1,過去,FALSE
1,0,2,現在,FALSE
2,0,3,未来,FALSE
// 3. 3枚引き（Situation/Action/Outcome）(3枚),,,,
0,0,1,状況,FALSE
1,0,2,行動,FALSE
2,0,3,結果,FALSE
// 4. 3枚引き（Mind/Body/Spirit）(3枚),,,,
0,0,1,心,FALSE
1,0,2,体,FALSE
2,0,3,魂,FALSE
// 5. 恋愛三角 (3枚) - 三角形配置,,,,
1,0,1,心の状態,FALSE
0,1,2,現在の愛,FALSE
2,1,3,未来の愛,FALSE
// 6. 面接スプレッド (3枚),,,,
0,0,1,あなたの強み,FALSE
1,0,2,相手の印象,FALSE
2,0,3,結果,FALSE
// 7. 関係性スプレッド (3枚) - 三角形配置,,,,
1,0,1,あなた,FALSE
0,1,2,相手,FALSE
2,1,3,関係性,FALSE
// 8. 復縁スプレッド (4枚),,,,
0,0,1,過去の関係,FALSE
1,0,2,現在の状況,FALSE
2,0,3,相手の気持ち,FALSE
3,0,4,復縁可能性,FALSE
// 9. 健康チェック (4枚),,,,
0,0,1,心の健康,FALSE
1,0,2,体の健康,FALSE
2,0,3,必要な行動,FALSE
3,0,4,回復の兆し,FALSE
// 10. 投資スプレッド (4枚),,,,
0,0,1,リスク,FALSE
1,0,2,リターン,FALSE
2,0,3,タイミング,FALSE
3,0,4,結果,FALSE
// 11. 5枚スプレッド (5枚) - 十字配置,,,,
1,0,1,現在,FALSE
0,1,2,過去,FALSE
1,1,3,課題,FALSE
2,1,4,未来,FALSE
1,2,5,アドバイス,FALSE
// 12. ソウルメイト (5枚),,,,
0,0,1,現状,FALSE
1,0,2,準備度,FALSE
2,0,3,出会い方,FALSE
3,0,4,相手像,FALSE
4,0,5,時期,FALSE
// 13. マネーブロック解除 (5枚),,,,
0,0,1,現状,FALSE
1,0,2,原因,FALSE
2,0,3,ブロック,FALSE
3,0,4,解決法,FALSE
4,0,5,成功後,FALSE
// 14. 心のブロック解除 (5枚),,,,
0,0,1,現状,FALSE
1,0,2,原因,FALSE
2,0,3,ブロック,FALSE
3,0,4,解決法,FALSE
4,0,5,成功後,FALSE
// 15. ワークライフバランス (5枚),,,,
0,0,1,現状,FALSE
1,0,2,仕事・学業,FALSE
2,0,3,バランス,FALSE
3,0,4,プライベート,FALSE
4,0,5,未来,FALSE
// 16. 金運予測 (6枚),,,,
0,0,1,現在の状況,FALSE
1,0,2,収入,FALSE
2,0,3,支出,FALSE
0,1,4,投資運,FALSE
1,1,5,節約法,FALSE
2,1,6,金運,FALSE
// 17. 関係性ヘルスチェック (6枚),,,,
0,0,1,あなた,FALSE
1,0,2,パートナー,FALSE
2,0,3,強み,FALSE
0,1,4,課題,FALSE
1,1,5,アドバイス,FALSE
2,1,6,未来,FALSE
// 18. ヒーリングジャーニー (6枚),,,,
0,0,1,現在の状態,FALSE
1,0,2,根本原因,FALSE
2,0,3,治療法,FALSE
0,1,4,心の癒し,FALSE
1,1,5,体の癒し,FALSE
2,1,6,完全回復,FALSE
// 19. キャリアパス (7枚),,,,
0,0,1,現状,FALSE
1,0,2,課題,FALSE
2,0,3,強み,FALSE
3,0,4,長期目標,FALSE
0,1,5,行動,FALSE
1,1,6,機会,FALSE
2,1,7,結果,FALSE
// 20. エナジーバランス (7枚),,,,
0,0,1,現状,FALSE
1,0,2,精神,FALSE
2,0,3,肉体,FALSE
3,0,4,行動,FALSE
0,1,5,栄養,FALSE
1,1,6,運動,FALSE
2,1,7,バランス,FALSE
// 21. ホースシュー (7枚) - 馬蹄形配置,,,,
0,0,1,過去,FALSE
0,1,2,現在,FALSE
1,2,3,隠れた影響,FALSE
2,3,4,あなたのアプローチ,FALSE
3,2,5,周囲の影響,FALSE
4,1,6,すべきこと,FALSE
4,0,7,結果,FALSE
// 22. ケルト十字 (10枚) - 十字形＋縦列,,,,
1,1,1,現在の状況,FALSE
1,1,2,課題・障害,TRUE
1,0,3,理想・目標,FALSE
1,2,4,潜在意識,FALSE
2,1,5,過去の影響,FALSE
0,1,6,近い未来,FALSE
4,3,7,あなたのアプローチ,FALSE
4,2,8,周囲の影響,FALSE
4,1,9,希望・恐れ,FALSE
4,0,10,最終結果,FALSE
// 23. イヤースプレッド (12枚) - 円形配置（時計のように）,,,,
2,0,1,1月,FALSE
3,0,2,2月,FALSE
4,1,3,3月,FALSE
4,2,4,4月,FALSE
3,3,5,5月,FALSE
2,3,6,6月,FALSE
1,3,7,7月,FALSE
0,2,8,8月,FALSE
0,1,9,9月,FALSE
1,0,10,10月,FALSE
2,1,11,11月,FALSE
2,2,12,12月,FALSE
// 24. アストロロジカルスプレッド (12枚) - 星座環配置,,,,
1,0,1,自己,FALSE
2,0,2,金銭,FALSE
3,0,3,コミュニケーション,FALSE
4,1,4,家庭,FALSE
4,2,5,創造,FALSE
3,3,6,健康,FALSE
2,4,7,パートナーシップ,FALSE
1,4,8,変化,FALSE
0,3,9,哲学,FALSE
0,2,10,社会,FALSE
0,1,11,友人,FALSE
1,1,12,精神,FALSE
// 25. 生命の樹 (10枚) - カバラの生命の樹配置,,,,
1,0,1,ケテル,FALSE
0,1,2,コクマー,FALSE
2,1,3,ビナー,FALSE
0,2,4,ケセド,FALSE
2,2,5,ゲブラー,FALSE
1,3,6,ティファレト,FALSE
0,4,7,ネツァク,FALSE
2,4,8,ホド,FALSE
1,5,9,イエソド,FALSE
1,6,10,マルクト,FALSE
// 26. グランドタブロー (36枚) - 6x6グリッド,,,,
0,0,1,位置1,FALSE
1,0,2,位置2,FALSE
2,0,3,位置3,FALSE
3,0,4,位置4,FALSE
4,0,5,位置5,FALSE
5,0,6,位置6,FALSE
0,1,7,位置7,FALSE
1,1,8,位置8,FALSE
2,1,9,位置9,FALSE
3,1,10,位置10,FALSE
4,1,11,位置11,FALSE
5,1,12,位置12,FALSE
0,2,13,位置13,FALSE
1,2,14,位置14,FALSE
2,2,15,位置15,FALSE
3,2,16,位置16,FALSE
4,2,17,位置17,FALSE
5,2,18,位置18,FALSE
0,3,19,位置19,FALSE
1,3,20,位置20,FALSE
2,3,21,位置21,FALSE
3,3,22,位置22,FALSE
4,3,23,位置23,FALSE
5,3,24,位置24,FALSE
0,4,25,位置25,FALSE
1,4,26,位置26,FALSE
2,4,27,位置27,FALSE
3,4,28,位置28,FALSE
4,4,29,位置29,FALSE
5,4,30,位置30,FALSE
0,5,31,位置31,FALSE
1,5,32,位置32,FALSE
2,5,33,位置33,FALSE
3,5,34,位置34,FALSE
4,5,35,位置35,FALSE
5,5,36,位置36,FALSE
